                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2739,                 9.2544,                 1.3782,                0.00033,                0.08333,                0.00018,                  9e-05,                 2.0176,                 5.3865,                 1.0132,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.7518,                  7.695,                 1.3947,                0.00033,                0.08333,                0.00018,                  7e-05,                 1.9589,                 5.2034,                0.98947,             0.00013945,             0.00013945,             0.00013945
                      3,                 2.3706,                 6.1733,                 1.1202,                0.00167,                0.41667,                0.00233,                0.00068,                 2.1041,                 5.5957,                 1.0191,             0.00021826,             0.00021826,             0.00021826
                      4,                 2.2563,                  4.232,                 1.1142,                  0.003,                   0.75,                0.00583,                0.00169,                 1.9412,                 5.0644,                0.99992,             0.00029644,             0.00029644,             0.00029644
                      5,                 2.1908,                 4.4552,                  1.076,                  0.003,                   0.75,                 0.0058,                0.00186,                 2.0098,                 5.1308,                0.98733,             0.00037398,             0.00037398,             0.00037398
                      6,                 1.8514,                 3.6568,                 1.0678,                0.00333,                0.83333,                0.00649,                0.00203,                 1.6695,                 4.9296,                0.92415,             0.00045089,             0.00045089,             0.00045089
                      7,                 2.0145,                  4.263,                 1.0438,                0.00267,                0.66667,                0.00432,                 0.0018,                 1.5489,                 4.8762,                0.89596,             0.00052717,             0.00052717,             0.00052717
                      8,                 1.7778,                 3.3096,                 1.0868,                0.00267,                0.66667,                0.00425,                0.00166,                 1.4572,                 4.6811,                0.87664,             0.00060281,             0.00060281,             0.00060281
                      9,                 1.9544,                 3.6807,                 1.0977,                0.00233,                0.58333,                 0.0029,                0.00099,                 1.7961,                 4.8396,                0.98333,             0.00067782,             0.00067782,             0.00067782
                     10,                 2.1052,                 4.2226,                 1.1302,                  0.003,                   0.75,                0.00428,                0.00127,                 1.9168,                 4.7114,                  1.018,              0.0007522,              0.0007522,              0.0007522
                     11,                  1.934,                 3.5818,                 1.1758,                0.00133,                0.33333,                0.00111,                0.00065,                 1.7394,                 4.6667,                0.97729,             0.00082594,             0.00082594,             0.00082594
                     12,                 1.6447,                 2.5806,                 1.0075,                  0.002,                    0.5,                0.00171,                0.00071,                 1.6938,                 4.3134,                0.96612,             0.00089905,             0.00089905,             0.00089905
                     13,                  1.907,                 3.6906,                 1.0269,                  0.003,                   0.75,                 0.0035,                0.00186,                 1.5764,                 4.1115,                0.93799,             0.00097153,             0.00097153,             0.00097153
                     14,                 1.7988,                 2.9347,                 1.0429,                  0.003,                   0.75,                0.00389,                0.00239,                 1.5143,                  4.107,                0.92771,              0.0010434,              0.0010434,              0.0010434
                     15,                 1.8846,                 2.9668,                 1.1283,                  0.004,                      1,                0.01074,                0.00629,                 1.6658,                 4.6406,                0.96946,              0.0011146,              0.0011146,              0.0011146
                     16,                 1.7313,                  2.511,                  1.015,                  0.004,                      1,                0.01501,                  0.008,                  1.677,                 5.1536,                0.97947,              0.0011852,              0.0011852,              0.0011852
                     17,                 2.1022,                 3.1331,                 1.0556,                  0.004,                      1,                 0.0108,                0.00538,                  1.687,                 5.0007,                0.98544,              0.0012551,              0.0012551,              0.0012551
                     18,                 1.7953,                   2.45,                  1.007,                0.72871,                0.16667,                0.39001,                0.23159,                 1.6595,                 2.7425,                 1.0055,              0.0013244,              0.0013244,              0.0013244
                     19,                 1.8095,                  2.863,                 1.0514,                0.02414,                0.16667,                0.04677,                0.02096,                 1.8954,                 3.4538,                 1.0539,              0.0013931,              0.0013931,              0.0013931
                     20,                 1.9536,                 2.9029,                 1.0592,                0.00821,                0.08333,                0.05871,                0.02436,                 1.9078,                 8.4396,                  1.028,              0.0014611,              0.0014611,              0.0014611
                     21,                 1.8067,                 3.1755,                 1.0391,                0.29302,                0.91667,                0.34398,                0.15313,                 1.8762,                 2.1709,                  1.008,              0.0015285,              0.0015285,              0.0015285
                     22,                 1.6764,                  2.054,                 1.0062,                0.43537,                0.66667,                0.66269,                0.31663,                 1.8987,                 2.2631,                0.99726,              0.0015953,              0.0015953,              0.0015953
                     23,                 1.5998,                 2.3853,                0.96467,                      1,                0.74566,                0.94833,                0.40003,                 1.8532,                 1.8157,                0.99476,              0.0016614,              0.0016614,              0.0016614
                     24,                 1.6403,                 2.2208,                 1.0067,                0.89535,                 0.7151,                0.77595,                0.30978,                 2.0064,                 1.4063,                 1.0811,              0.0017269,              0.0017269,              0.0017269
                     25,                 1.7638,                 2.0009,                0.98009,                0.80782,                0.58333,                0.68021,                0.34252,                  1.793,                  1.725,                 1.0253,              0.0017918,              0.0017918,              0.0017918
                     26,                 1.9279,                 2.3117,                 1.0739,                0.97725,                0.58333,                0.69042,                0.37165,                 1.6318,                 2.0399,                0.99849,               0.001802,               0.001802,               0.001802
                     27,                 1.7599,                 1.9183,                 1.0481,                0.84082,                0.41667,                 0.6612,                 0.3286,                 1.5752,                 2.0363,                0.98878,              0.0017941,              0.0017941,              0.0017941
                     28,                 1.6569,                 1.9744,                0.97954,                0.73523,                0.69583,                0.75265,                0.35581,                  1.727,                 1.6249,                 1.0198,              0.0017862,              0.0017862,              0.0017862
                     29,                 1.7291,                  1.948,                 1.0693,                0.76472,                   0.75,                0.82926,                 0.4255,                 1.6514,                 1.4078,                0.98858,              0.0017782,              0.0017782,              0.0017782
                     30,                 1.6692,                 1.7107,                0.96439,                0.87006,                0.83333,                 0.8432,                0.39753,                 1.6601,                  1.495,                0.99347,              0.0017703,              0.0017703,              0.0017703
                     31,                 1.6429,                  1.873,                 1.0617,                0.70971,                0.83333,                0.83097,                0.43077,                 1.6843,                 1.3881,                 1.0004,              0.0017624,              0.0017624,              0.0017624
                     32,                 1.3216,                 4.6662,                0.75701,                0.87778,                      1,                0.96346,                0.50004,                 1.6874,                  1.244,                0.99639,              0.0017545,              0.0017545,              0.0017545
                     33,                 1.7282,                 1.8501,                 1.0621,                0.89498,                      1,                0.96962,                0.49902,                 1.6874,                 1.1488,                 1.0152,              0.0017466,              0.0017466,              0.0017466
                     34,                 1.8894,                 1.7996,                 1.1056,                0.98424,                      1,                  0.995,                0.47769,                 1.7472,                 1.1447,                 1.0069,              0.0017386,              0.0017386,              0.0017386
                     35,                 1.8799,                 1.8724,                 1.0364,                0.89296,                      1,                0.93731,                0.40694,                 1.8043,                 1.2222,                 1.0355,              0.0017307,              0.0017307,              0.0017307
                     36,                 1.6816,                 1.6888,                0.99881,                      1,                0.97292,                  0.995,                0.49711,                 1.6718,                 1.1829,                 1.0012,              0.0017228,              0.0017228,              0.0017228
                     37,                 1.8024,                 2.0326,                 1.0478,                      1,                 0.9787,                  0.995,                0.54647,                 1.6054,                 1.0005,                0.98346,              0.0017149,              0.0017149,              0.0017149
                     38,                 1.7252,                 1.6138,                 1.0023,                 0.8491,                0.91667,                 0.9769,                0.52013,                  1.674,                 1.0039,                 1.0213,               0.001707,               0.001707,               0.001707
                     39,                 1.7284,                 1.6104,                 1.0262,                0.91928,                0.95067,                0.98885,                0.48206,                  1.622,                 1.1143,                 0.9942,               0.001699,               0.001699,               0.001699
                     40,                 1.6166,                 1.7612,                 1.0109,                0.97388,                      1,                  0.995,                0.45726,                 1.6545,                 1.1251,                0.99768,              0.0016911,              0.0016911,              0.0016911
                     41,                 1.5524,                 1.5251,                0.95823,                0.97303,                      1,                  0.995,                 0.4948,                 1.6326,                 1.0595,                0.96816,              0.0016832,              0.0016832,              0.0016832
                     42,                  1.581,                 1.4796,                0.99623,                0.96432,                      1,                  0.995,                0.53765,                 1.5762,                 1.0082,                0.94751,              0.0016753,              0.0016753,              0.0016753
                     43,                 1.4505,                 1.3776,                0.99472,                      1,                0.98834,                  0.995,                0.52909,                 1.6855,                 1.1024,                0.99689,              0.0016674,              0.0016674,              0.0016674
                     44,                 1.7828,                 1.6281,                 1.0828,                0.91092,                      1,                  0.995,                0.53299,                 1.7991,                 1.1536,                 1.0354,              0.0016594,              0.0016594,              0.0016594
                     45,                 1.8081,                 1.6171,                 1.0704,                0.95976,                      1,                  0.995,                0.49737,                 1.8745,                 1.1251,                 1.0448,              0.0016515,              0.0016515,              0.0016515
                     46,                 1.8445,                 1.6381,                 1.0173,                0.95979,                      1,                  0.995,                0.42831,                 1.9525,                  1.059,                 1.0685,              0.0016436,              0.0016436,              0.0016436
                     47,                 1.7802,                 1.5124,                 1.0118,                0.98086,                      1,                  0.995,                0.40356,                 2.0286,                 1.0789,                 1.0725,              0.0016357,              0.0016357,              0.0016357
                     48,                 1.7921,                 1.4539,                 1.0257,                0.98234,                0.91667,                0.91516,                0.44067,                 1.7958,                  1.027,                 1.0135,              0.0016278,              0.0016278,              0.0016278
                     49,                 1.5775,                  1.431,                0.94315,                      1,                0.90412,                0.91516,                0.48835,                  1.672,                  1.026,                0.96966,              0.0016198,              0.0016198,              0.0016198
                     50,                 1.5902,                  1.441,                 1.0108,                      1,                0.89763,                0.98357,                0.52334,                 1.6726,                0.98524,                0.97971,              0.0016119,              0.0016119,              0.0016119
                     51,                 1.8248,                 1.4399,                 1.0598,                0.99025,                0.91667,                0.98885,                0.58107,                 1.5884,                0.92683,                0.96817,               0.001604,               0.001604,               0.001604
                     52,                 1.7228,                 1.3764,                 1.0359,                      1,                 0.9936,                  0.995,                0.59571,                 1.5032,                0.96268,                0.93539,              0.0015961,              0.0015961,              0.0015961
                     53,                 1.5512,                 1.3725,                 1.0015,                0.97423,                      1,                  0.995,                0.56335,                 1.5002,                 1.0056,                0.93634,              0.0015882,              0.0015882,              0.0015882
                     54,                 1.4363,                  1.403,                0.92337,                0.93129,                      1,                  0.995,                 0.6075,                 1.4708,                0.99646,                0.93801,              0.0015802,              0.0015802,              0.0015802
                     55,                 1.6884,                 1.2689,                 1.0592,                0.93713,                      1,                  0.995,                0.59509,                 1.4749,                0.96442,                0.92996,              0.0015723,              0.0015723,              0.0015723
                     56,                 1.8067,                 1.5858,                 1.0472,                0.94981,                      1,                  0.995,                 0.6367,                 1.4467,                 0.9996,                0.93178,              0.0015644,              0.0015644,              0.0015644
                     57,                 1.7435,                 1.2906,                 1.0111,                0.91297,                      1,                  0.995,                 0.6231,                  1.458,                0.95439,                0.93338,              0.0015565,              0.0015565,              0.0015565
                     58,                 1.7427,                 1.4493,                0.99432,                0.98704,                      1,                  0.995,                0.60358,                 1.4861,                0.97627,                0.93155,              0.0015486,              0.0015486,              0.0015486
                     59,                 1.5192,                 1.2898,                 1.0195,                      1,                0.98127,                  0.995,                0.60052,                 1.5493,                0.94084,                0.93064,              0.0015406,              0.0015406,              0.0015406
                     60,                 1.6474,                 1.1158,                 1.0159,                0.92014,                0.96184,                0.98885,                0.55484,                  1.538,                0.78287,                0.92703,              0.0015327,              0.0015327,              0.0015327
                     61,                 1.5823,                 1.0901,                0.94742,                0.85314,                      1,                0.98269,                0.57448,                  1.499,                0.76687,                0.93249,              0.0015248,              0.0015248,              0.0015248
                     62,                 1.5739,                 1.2743,                 1.0039,                0.85454,                      1,                0.98269,                0.57264,                 1.6068,                0.80935,                0.96406,              0.0015169,              0.0015169,              0.0015169
                     63,                 1.8704,                 1.3217,                  1.002,                0.89331,                      1,                0.96962,                 0.5152,                 1.6937,                0.84177,                0.97219,               0.001509,               0.001509,               0.001509
                     64,                 1.6715,                 1.1514,                0.98353,                0.90052,                      1,                0.96962,                0.53852,                 1.5844,                0.76232,                0.95884,               0.001501,               0.001501,               0.001501
                     65,                  1.484,                 1.6152,                0.95029,                0.92307,                 0.9999,                0.96962,                0.53286,                 1.5284,                0.75017,                0.94702,              0.0014931,              0.0014931,              0.0014931
                     66,                 1.3439,                 1.1016,                0.97432,                0.92176,                0.98286,                0.96962,                0.52397,                 1.5292,                0.75559,                0.94192,              0.0014852,              0.0014852,              0.0014852
                     67,                 1.7867,                 1.3157,                 1.0123,                0.95857,                0.91667,                0.98885,                0.55483,                 1.5129,                0.76725,                0.93781,              0.0014773,              0.0014773,              0.0014773
                     68,                 1.7132,                 1.5132,                 1.1438,                0.94659,                0.91667,                0.98885,                0.56958,                 1.4555,                0.76139,                0.93027,              0.0014694,              0.0014694,              0.0014694
                     69,                 1.7815,                 1.2674,                 0.9939,                0.98695,                      1,                  0.995,                0.53753,                 1.4775,                0.77056,                0.93741,              0.0014614,              0.0014614,              0.0014614
                     70,                 1.6395,                 1.1361,                 1.0245,                0.98255,                      1,                  0.995,                0.52854,                 1.5363,                0.80226,                0.95275,              0.0014535,              0.0014535,              0.0014535
                     71,                 1.7178,                 1.2552,                 1.0029,                0.98872,                      1,                  0.995,                 0.5791,                 1.4613,                0.72616,                0.92233,              0.0014456,              0.0014456,              0.0014456
                     72,                 1.3869,                   1.02,                0.93151,                0.97056,                      1,                  0.995,                0.60344,                 1.3656,                0.66965,                0.89837,              0.0014377,              0.0014377,              0.0014377
                     73,                 1.6519,                 1.1554,                 1.0377,                0.84413,                      1,                 0.9769,                0.64948,                 1.3283,                0.68552,                0.89061,              0.0014298,              0.0014298,              0.0014298
                     74,                  1.496,                 1.2062,                 1.0127,                0.89451,                      1,                0.94423,                0.60592,                 1.3217,                0.73971,                0.88712,              0.0014218,              0.0014218,              0.0014218
                     75,                 1.4784,                 1.1288,                 1.0038,                0.91411,                      1,                0.95038,                0.57406,                 1.2871,                0.68211,                0.87477,              0.0014139,              0.0014139,              0.0014139
                     76,                  1.378,                 0.9076,                0.93209,                0.99272,                      1,                  0.995,                0.57743,                 1.3777,                0.77489,                0.89876,               0.001406,               0.001406,               0.001406
                     77,                 1.9018,                 1.3546,                0.96434,                      1,                0.99915,                  0.995,                0.55162,                 1.4218,                0.86102,                0.91483,              0.0013981,              0.0013981,              0.0013981
                     78,                 1.6234,                 1.1593,                0.95205,                      1,                0.98089,                  0.995,                0.61617,                 1.4231,                0.82621,                0.91659,              0.0013902,              0.0013902,              0.0013902
                     79,                 1.4494,                 1.0402,                 1.0009,                0.98415,                0.91667,                0.98885,                0.61413,                 1.4162,                0.73705,                0.91458,              0.0013822,              0.0013822,              0.0013822
                     80,                  1.733,                 1.3045,                 1.0377,                      1,                0.98948,                  0.995,                0.57091,                 1.4981,                0.74142,                0.93143,              0.0013743,              0.0013743,              0.0013743
                     81,                 1.5662,                0.99415,                0.99027,                      1,                0.99247,                  0.995,                0.58503,                 1.5234,                0.72699,                0.93559,              0.0013664,              0.0013664,              0.0013664
                     82,                 1.2667,                 1.5602,                0.77782,                      1,                0.99223,                  0.995,                0.62412,                 1.4495,                 0.7083,                0.90532,              0.0013585,              0.0013585,              0.0013585
                     83,                 1.4925,                 1.0266,                 0.9236,                      1,                0.99246,                  0.995,                0.57826,                 1.4562,                0.73641,                0.91939,              0.0013506,              0.0013506,              0.0013506
                     84,                 1.6583,                 1.0616,                 1.0193,                      1,                0.99795,                  0.995,                0.52054,                 1.5949,                0.80348,                0.96335,              0.0013426,              0.0013426,              0.0013426
                     85,                 1.5609,                0.96627,                 1.0043,                      1,                0.98964,                  0.995,                0.54133,                 1.6688,                0.82322,                0.98219,              0.0013347,              0.0013347,              0.0013347
                     86,                   1.54,                0.98019,                0.99665,                      1,                0.97262,                  0.995,                0.48943,                 1.6892,                0.86233,                0.97438,              0.0013268,              0.0013268,              0.0013268
                     87,                 1.4049,                0.96786,                0.94175,                0.94388,                0.91667,                0.98885,                 0.5034,                 1.6621,                0.95845,                0.96254,              0.0013189,              0.0013189,              0.0013189
                     88,                 1.2528,                0.97437,                0.88476,                0.97957,                0.91667,                0.98885,                0.54998,                 1.5513,                0.93542,                 0.9491,               0.001311,               0.001311,               0.001311
                     89,                 1.4918,                 1.0894,                 1.0125,                0.99098,                0.91667,                0.98357,                0.56222,                 1.4508,                0.82442,                0.92192,               0.001303,               0.001303,               0.001303
                     90,                  1.546,                 1.0391,                0.96831,                  0.997,                0.91667,                0.98885,                0.58426,                 1.3973,                0.76731,                0.90428,              0.0012951,              0.0012951,              0.0012951
                     91,                 1.4466,                 1.0285,                 0.9518,                0.91769,                0.92999,                0.98885,                0.51478,                 1.4186,                0.82892,                0.90935,              0.0012872,              0.0012872,              0.0012872
                     92,                 1.3502,                0.97532,                0.90811,                0.90962,                0.83333,                 0.9769,                0.49571,                 1.4702,                 0.8282,                0.92117,              0.0012793,              0.0012793,              0.0012793
                     93,                 1.3454,                  1.061,                  0.885,                0.84709,                      1,                0.98269,                0.50836,                 1.5356,                0.83346,                0.92834,              0.0012714,              0.0012714,              0.0012714
                     94,                 1.5724,                0.98592,                0.96237,                 0.9227,                0.99508,                0.98269,                0.52627,                 1.5392,                0.77147,                0.92614,              0.0012634,              0.0012634,              0.0012634
                     95,                 1.3011,                 0.9434,                0.90801,                0.97779,                      1,                  0.995,                0.55689,                 1.5756,                0.73682,                0.92338,              0.0012555,              0.0012555,              0.0012555
                     96,                 1.4182,                0.87963,                 1.0045,                0.97572,                      1,                  0.995,                0.59594,                 1.5008,                0.69263,                0.91535,              0.0012476,              0.0012476,              0.0012476
                     97,                 1.2643,                0.99296,                0.96519,                      1,                0.92222,                  0.995,                0.57477,                  1.511,                 0.7668,                0.92487,              0.0012397,              0.0012397,              0.0012397
                     98,                 1.1985,                 0.8408,                 0.8745,                0.89558,                      1,                0.98269,                0.56447,                 1.5252,                0.76231,                0.93877,              0.0012318,              0.0012318,              0.0012318
                     99,                 1.4421,                 0.9215,                0.97008,                0.84789,                      1,                0.95929,                0.52257,                  1.532,                0.71471,                0.94261,              0.0012238,              0.0012238,              0.0012238
                    100,                 1.5413,                0.97723,                0.94761,                0.84742,                      1,                0.96396,                0.51569,                 1.5616,                0.71647,                0.96246,              0.0012159,              0.0012159,              0.0012159
                    101,                  1.485,                0.95195,                0.95604,                0.91307,                      1,                0.98269,                0.51062,                 1.6367,                0.69525,                0.98491,               0.001208,               0.001208,               0.001208
                    102,                 1.5917,                  1.006,                0.94354,                0.91247,                      1,                0.98269,                0.50008,                 1.6417,                0.70494,                0.97712,              0.0012001,              0.0012001,              0.0012001
                    103,                  1.486,                0.91792,                0.97815,                0.97879,                      1,                  0.995,                0.51763,                 1.5833,                 0.7362,                0.96399,              0.0011922,              0.0011922,              0.0011922
                    104,                 1.4487,                0.86115,                0.98268,                0.90251,                      1,                0.96962,                0.48919,                 1.6165,                0.73525,                0.96197,              0.0011842,              0.0011842,              0.0011842
                    105,                 1.5476,                0.94016,                0.99742,                 0.9722,                      1,                  0.995,                0.53241,                 1.5247,                0.69213,                0.93119,              0.0011763,              0.0011763,              0.0011763
                    106,                 1.3209,                0.92051,                0.98756,                0.83986,                      1,                0.96396,                0.58105,                 1.4201,                0.69378,                0.90762,              0.0011684,              0.0011684,              0.0011684
                    107,                 1.2748,                0.89181,                0.92748,                0.96265,                      1,                  0.995,                0.61652,                 1.3753,                0.69715,                0.89952,              0.0011605,              0.0011605,              0.0011605
                    108,                 1.4196,                0.85934,                0.95394,                0.95842,                      1,                  0.995,                0.61122,                 1.3937,                0.68252,                0.90027,              0.0011526,              0.0011526,              0.0011526
                    109,                 1.3941,                0.87288,                0.90182,                0.96248,                      1,                  0.995,                0.56419,                 1.3997,                0.66476,                0.90094,              0.0011446,              0.0011446,              0.0011446
                    110,                 1.7272,                0.97542,                 1.0276,                0.91217,                      1,                0.98885,                0.55597,                 1.4618,                0.69503,                0.90916,              0.0011367,              0.0011367,              0.0011367
                    111,                 1.2872,                0.84546,                0.91307,                0.91331,                      1,                0.98885,                0.53139,                 1.4721,                0.69678,                0.90872,              0.0011288,              0.0011288,              0.0011288
                    112,                 1.3721,                0.92595,                0.97044,                 0.9075,                      1,                0.98269,                0.58872,                 1.4697,                0.69535,                 0.9064,              0.0011209,              0.0011209,              0.0011209
                    113,                 1.2991,                0.85613,                0.94573,                0.90598,                      1,                0.98269,                0.60469,                  1.457,                0.67472,                0.91248,               0.001113,               0.001113,               0.001113
                    114,                 1.3053,                0.81109,                0.97857,                0.90988,                      1,                0.98269,                0.58353,                  1.452,                0.65978,                0.91437,               0.001105,               0.001105,               0.001105
                    115,                 1.4375,                0.97717,                0.95384,                0.91304,                      1,                0.98269,                0.58807,                  1.417,                0.65545,                0.90531,              0.0010971,              0.0010971,              0.0010971
                    116,                 1.4661,                0.89682,                0.90422,                 0.9148,                      1,                0.98885,                0.59428,                 1.4194,                0.65134,                0.90403,              0.0010892,              0.0010892,              0.0010892
                    117,                 1.3571,                0.80177,                0.93384,                0.92179,                      1,                  0.995,                0.59057,                 1.4351,                0.69876,                0.90302,              0.0010813,              0.0010813,              0.0010813
                    118,                 1.4364,                 0.8456,                0.92351,                0.94064,                      1,                  0.995,                0.56831,                 1.4548,                0.73211,                0.90192,              0.0010734,              0.0010734,              0.0010734
                    119,                 1.4353,                0.85477,                0.89033,                0.96124,                      1,                  0.995,                0.59279,                 1.4191,                0.75006,                0.90035,              0.0010654,              0.0010654,              0.0010654
                    120,                 1.3529,                0.86087,                0.93795,                0.95662,                      1,                  0.995,                0.59028,                  1.395,                0.71923,                 0.8997,              0.0010575,              0.0010575,              0.0010575
                    121,                 1.5538,                0.98936,                0.99868,                0.96023,                      1,                  0.995,                0.58066,                 1.3477,                0.68855,                0.89862,              0.0010496,              0.0010496,              0.0010496
                    122,                 1.3437,                0.77414,                0.94534,                0.98151,                      1,                  0.995,                 0.6338,                   1.29,                 0.6891,                0.89296,              0.0010417,              0.0010417,              0.0010417
                    123,                 1.3757,                0.80252,                0.92043,                0.98823,                      1,                  0.995,                0.62994,                 1.2582,                0.66526,                0.88427,              0.0010338,              0.0010338,              0.0010338
                    124,                 1.2452,                0.82536,                0.93305,                0.98285,                      1,                  0.995,                0.64033,                 1.2396,                0.64395,                0.87888,              0.0010258,              0.0010258,              0.0010258
