                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                  1.233,                0.77959,                0.91618,                 0.9882,                      1,                  0.995,                0.59281,                 1.2814,                0.60834,                0.87958,              0.0010179,              0.0010179,              0.0010179
                    126,                 1.3928,                0.85902,                0.90759,                0.91169,                      1,                0.96346,                0.57926,                 1.3463,                0.64429,                0.89611,                0.00101,                0.00101,                0.00101
                    127,                 1.6058,                0.91714,                0.94566,                 0.9121,                      1,                0.96346,                0.60494,                  1.331,                0.64946,                0.89747,              0.0010021,              0.0010021,              0.0010021
                    128,                 1.2664,                0.77746,                0.94103,                0.98535,                      1,                  0.995,                0.62357,                 1.3182,                0.64711,                0.88944,             0.00099416,             0.00099416,             0.00099416
                    129,                 1.3239,                0.80966,                0.88171,                0.99069,                      1,                  0.995,                0.60734,                 1.3269,                0.63958,                0.89124,             0.00098624,             0.00098624,             0.00098624
                    130,                 1.2901,                  0.873,                0.89119,                 0.9919,                      1,                  0.995,                0.57257,                 1.4022,                 0.6834,                0.90433,             0.00097832,             0.00097832,             0.00097832
                    131,                 1.3122,                0.85713,                0.92205,                0.99346,                      1,                  0.995,                0.59613,                  1.385,                0.65383,                 0.9012,              0.0009704,              0.0009704,              0.0009704
                    132,                 1.3049,                 0.8362,                0.91148,                0.99268,                      1,                  0.995,                 0.6103,                 1.3549,                0.63387,                0.89165,             0.00096248,             0.00096248,             0.00096248
                    133,                 1.2293,                0.76102,                0.91364,                0.99295,                      1,                  0.995,                0.57401,                 1.4577,                 0.6419,                0.91022,             0.00095456,             0.00095456,             0.00095456
                    134,                 1.3243,                0.82034,                0.97165,                0.99458,                      1,                  0.995,                0.54598,                 1.5785,                0.64756,                0.94556,             0.00094664,             0.00094664,             0.00094664
                    135,                 1.2568,                0.79149,                 0.8627,                 0.9951,                      1,                  0.995,                0.53377,                 1.6417,                0.67023,                0.97072,             0.00093872,             0.00093872,             0.00093872
                    136,                 1.4279,                0.85249,                0.93092,                      1,                0.99784,                  0.995,                0.53725,                  1.656,                0.70973,                0.98054,              0.0009308,              0.0009308,              0.0009308
                    137,                 1.5206,                0.77824,                0.90473,                      1,                 0.9873,                  0.995,                0.50719,                 1.7006,                 0.6975,                  0.984,             0.00092288,             0.00092288,             0.00092288
                    138,                 1.3184,                0.77829,                0.93339,                      1,                0.91517,                0.98885,                0.50293,                   1.72,                0.70559,                0.98963,             0.00091496,             0.00091496,             0.00091496
                    139,                 1.3788,                0.76669,                0.94802,                      1,                0.97261,                  0.995,                0.53743,                 1.6886,                0.67237,                0.98222,             0.00090704,             0.00090704,             0.00090704
                    140,                 1.3564,                0.78323,                0.95223,                0.99195,                      1,                  0.995,                0.56802,                 1.6283,                 0.6315,                0.96006,             0.00089912,             0.00089912,             0.00089912
                    141,                 1.4103,                0.75697,                0.90228,                0.99001,                      1,                  0.995,                0.58162,                 1.5432,                0.62281,                0.94005,              0.0008912,              0.0008912,              0.0008912
                    142,                 1.2591,                0.76027,                0.93846,                0.98866,                      1,                  0.995,                0.55368,                 1.5222,                0.62563,                0.92617,             0.00088328,             0.00088328,             0.00088328
                    143,                 1.4352,                0.86785,                0.90218,                0.98779,                      1,                  0.995,                 0.5695,                  1.476,                0.64832,                0.91381,             0.00087536,             0.00087536,             0.00087536
                    144,                 1.3112,                0.76038,                0.92109,                0.98127,                      1,                  0.995,                0.56783,                 1.4455,                0.62094,                 0.9085,             0.00086744,             0.00086744,             0.00086744
                    145,                 1.3356,                0.83566,                0.84161,                0.97063,                      1,                  0.995,                0.57281,                 1.4192,                0.62135,                0.90914,             0.00085952,             0.00085952,             0.00085952
                    146,                 1.2988,                0.77036,                0.87019,                0.96254,                      1,                  0.995,                0.58576,                 1.4235,                0.60338,                0.91295,              0.0008516,              0.0008516,              0.0008516
                    147,                 1.3468,                0.74401,                0.93495,                0.94644,                      1,                  0.995,                0.58691,                 1.4197,                 0.6371,                 0.9155,             0.00084368,             0.00084368,             0.00084368
                    148,                 1.3884,                 0.8342,                0.97589,                0.97754,                      1,                  0.995,                0.57842,                 1.4139,                0.63946,                0.92445,             0.00083576,             0.00083576,             0.00083576
                    149,                 1.2753,                0.70805,                0.91728,                0.98718,                      1,                  0.995,                0.59034,                 1.4497,                 0.6501,                0.93038,             0.00082784,             0.00082784,             0.00082784
                    150,                 1.2877,                0.71018,                0.95657,                0.91644,                      1,                  0.995,                0.59691,                 1.4574,                0.63125,                0.92745,             0.00081992,             0.00081992,             0.00081992
                    151,                 1.1263,                0.75486,                0.84437,                0.98515,                      1,                  0.995,                0.57403,                 1.4194,                0.60307,                0.92302,               0.000812,               0.000812,               0.000812
                    152,                 1.1893,                0.75317,                0.92968,                0.97472,                      1,                  0.995,                0.61201,                 1.3838,                0.58282,                0.91454,             0.00080408,             0.00080408,             0.00080408
                    153,                 1.3577,                0.70568,                0.96059,                0.98186,                      1,                  0.995,                 0.6202,                 1.3588,                0.56978,                0.90887,             0.00079616,             0.00079616,             0.00079616
                    154,                 1.3374,                 0.7075,                0.88677,                0.95972,                      1,                  0.995,                0.63147,                 1.3592,                0.57722,                0.90937,             0.00078824,             0.00078824,             0.00078824
                    155,                 1.4194,                0.75086,                0.93654,                0.91351,                      1,                0.98885,                0.65154,                 1.3484,                 0.5814,                0.90788,             0.00078032,             0.00078032,             0.00078032
                    156,                 1.4023,                0.75051,                0.90812,                0.91469,                      1,                0.98269,                0.63807,                 1.3499,                 0.5727,                0.90703,              0.0007724,              0.0007724,              0.0007724
                    157,                 1.1523,                0.68363,                0.90376,                0.91189,                      1,                0.98269,                0.61341,                 1.3504,                 0.5835,                0.90459,             0.00076448,             0.00076448,             0.00076448
                    158,                 1.1366,                0.68372,                0.91131,                0.84599,                      1,                0.95129,                0.59771,                 1.3543,                0.61922,                0.90618,             0.00075656,             0.00075656,             0.00075656
                    159,                 1.2614,                0.69506,                0.90003,                0.90936,                      1,                0.96962,                0.60135,                 1.3664,                0.61123,                0.90809,             0.00074864,             0.00074864,             0.00074864
                    160,                 1.1056,                0.63548,                0.87532,                0.90959,                      1,                0.96962,                0.58206,                 1.3792,                0.63436,                0.91842,             0.00074072,             0.00074072,             0.00074072
                    161,                 1.2254,                0.74638,                0.91905,                 0.8456,                      1,                0.95929,                0.58406,                 1.3844,                0.62087,                0.91965,              0.0007328,              0.0007328,              0.0007328
                    162,                 1.1958,                0.65271,                0.91656,                0.84742,                      1,                0.95929,                0.59778,                 1.3606,                0.57378,                0.90923,             0.00072488,             0.00072488,             0.00072488
                    163,                 1.1253,                0.69981,                0.89705,                0.84716,                      1,                0.98357,                0.65193,                 1.3346,                0.57399,                0.89716,             0.00071696,             0.00071696,             0.00071696
                    164,                   1.06,                0.73536,                0.82397,                0.92276,                 0.9959,                0.98885,                0.60701,                 1.3471,                0.57325,                0.89387,             0.00070904,             0.00070904,             0.00070904
                    165,                 1.2583,                0.72561,                 0.9266,                      1,                0.96839,                  0.995,                0.60014,                 1.3831,                0.61264,                0.89798,             0.00070112,             0.00070112,             0.00070112
                    166,                 1.3661,                0.77057,                0.95516,                      1,                0.97054,                  0.995,                0.62192,                 1.3566,                0.63074,                0.89923,              0.0006932,              0.0006932,              0.0006932
                    167,                 1.2218,                0.68569,                0.94275,                0.90539,                      1,                0.98885,                0.61894,                 1.3488,                0.64518,                0.89835,             0.00068528,             0.00068528,             0.00068528
                    168,                 1.1754,                0.70048,                0.85483,                0.90496,                      1,                0.98885,                0.63061,                 1.3233,                0.61131,                0.89339,             0.00067736,             0.00067736,             0.00067736
                    169,                 1.3966,                0.70864,                0.91824,                      1,                0.96894,                  0.995,                0.63177,                 1.3359,                0.57856,                0.89529,             0.00066944,             0.00066944,             0.00066944
                    170,                 1.1543,                0.67237,                0.91626,                      1,                0.99212,                  0.995,                0.62796,                 1.3468,                0.56112,                0.90062,             0.00066152,             0.00066152,             0.00066152
                    171,                 1.2667,                0.71392,                0.87709,                0.90952,                      1,                0.98885,                0.63158,                 1.3567,                0.57028,                 0.9076,              0.0006536,              0.0006536,              0.0006536
                    172,                 1.2716,                0.74361,                0.92766,                  0.918,                      1,                0.98885,                0.61456,                 1.3572,                0.61274,                0.91333,             0.00064568,             0.00064568,             0.00064568
                    173,                  1.172,                0.62879,                 0.9476,                0.91013,                      1,                0.98885,                0.61284,                 1.3765,                0.62573,                0.91907,             0.00063776,             0.00063776,             0.00063776
                    174,                 1.1059,                  0.626,                0.87385,                0.92063,                      1,                  0.995,                 0.6239,                 1.3994,                0.59879,                 0.9234,             0.00062984,             0.00062984,             0.00062984
                    175,                 1.3127,                0.73542,                0.92708,                 0.9673,                      1,                  0.995,                0.59679,                 1.4279,                0.63645,                0.93078,             0.00062192,             0.00062192,             0.00062192
                    176,                 1.1638,                0.69283,                0.90159,                0.97523,                      1,                  0.995,                0.58141,                 1.4911,                0.63847,                0.94372,               0.000614,               0.000614,               0.000614
                    177,                 1.3171,                0.68958,                0.88886,                0.97359,                      1,                  0.995,                0.60511,                 1.5079,                0.62061,                0.94342,             0.00060608,             0.00060608,             0.00060608
                    178,                 1.2701,                0.71954,                 0.8874,                0.99107,                      1,                  0.995,                0.57084,                 1.4773,                0.62566,                0.94015,             0.00059816,             0.00059816,             0.00059816
                    179,                 1.2541,                0.71403,                0.90189,                0.96736,                      1,                  0.995,                0.59552,                 1.4659,                0.64885,                0.93811,             0.00059024,             0.00059024,             0.00059024
                    180,                 1.1499,                0.66133,                0.88794,                0.99037,                      1,                  0.995,                 0.5902,                 1.4743,                0.65961,                0.93641,             0.00058232,             0.00058232,             0.00058232
                    181,                 1.0801,                0.61163,                0.88629,                0.99031,                      1,                  0.995,                0.57204,                  1.464,                 0.6417,                 0.9326,              0.0005744,              0.0005744,              0.0005744
                    182,                 1.2043,                0.70804,                0.93055,                0.99115,                      1,                  0.995,                0.57414,                   1.46,                0.65829,                0.92996,             0.00056648,             0.00056648,             0.00056648
                    183,                 1.2322,                0.67272,                 0.9102,                0.91463,                      1,                0.98885,                0.56267,                 1.4598,                0.64789,                0.92976,             0.00055856,             0.00055856,             0.00055856
                    184,                 1.0014,                0.65171,                0.89048,                0.90596,                      1,                0.98885,                0.56633,                 1.5091,                0.62659,                0.93864,             0.00055064,             0.00055064,             0.00055064
                    185,                 1.2595,                0.65946,                0.94385,                      1,                0.97186,                  0.995,                 0.5537,                 1.5567,                 0.6588,                0.94741,             0.00054272,             0.00054272,             0.00054272
                    186,                 1.1763,                0.65706,                0.89953,                0.99935,                      1,                  0.995,                 0.5279,                 1.5342,                0.67135,                0.94638,              0.0005348,              0.0005348,              0.0005348
                    187,                 1.2577,                0.73544,                0.88557,                0.95026,                      1,                  0.995,                0.58149,                 1.4581,                0.67073,                0.93703,             0.00052688,             0.00052688,             0.00052688
                    188,                 1.3614,                0.88651,                 0.9245,                0.98181,                      1,                  0.995,                 0.6182,                 1.4194,                0.63783,                0.92967,             0.00051896,             0.00051896,             0.00051896
                    189,                  1.118,                0.66237,                0.87755,                      1,                0.97399,                  0.995,                0.59766,                 1.4088,                0.61462,                0.92297,             0.00051104,             0.00051104,             0.00051104
                    190,                 1.3082,                0.64392,                0.89034,                      1,                0.99814,                  0.995,                0.60531,                 1.3972,                 0.6232,                0.91875,             0.00050312,             0.00050312,             0.00050312
                    191,                 1.2483,                0.75989,                 0.9276,                0.99173,                      1,                  0.995,                0.59529,                 1.4282,                0.63665,                0.91744,              0.0004952,              0.0004952,              0.0004952
                    192,                 1.0927,                0.64831,                0.83044,                0.98841,                      1,                  0.995,                0.58004,                 1.4431,                0.62761,                0.91488,             0.00048728,             0.00048728,             0.00048728
                    193,                 1.1366,                0.66557,                 0.8897,                0.98687,                      1,                  0.995,                0.57419,                 1.4244,                0.62474,                 0.9141,             0.00047936,             0.00047936,             0.00047936
                    194,                 1.3204,                0.81729,                0.89375,                0.98839,                      1,                  0.995,                0.58956,                 1.3887,                0.62748,                0.91049,             0.00047144,             0.00047144,             0.00047144
                    195,                 1.1882,                 0.7407,                0.87007,                0.98555,                      1,                  0.995,                0.57796,                 1.3757,                0.64338,                0.91382,             0.00046352,             0.00046352,             0.00046352
                    196,                 1.1526,                0.65552,                0.88782,                0.97986,                      1,                  0.995,                0.57683,                 1.3766,                0.63945,                0.91562,              0.0004556,              0.0004556,              0.0004556
                    197,                  1.155,                 0.7052,                  0.922,                0.97353,                      1,                  0.995,                0.58274,                 1.3782,                0.63685,                0.91394,             0.00044768,             0.00044768,             0.00044768
                    198,                 1.2511,                0.71935,                0.89716,                0.98494,                      1,                  0.995,                0.60813,                 1.3479,                0.64351,                 0.9066,             0.00043976,             0.00043976,             0.00043976
                    199,                 1.3857,                0.74427,                0.92976,                 0.9763,                      1,                  0.995,                0.61176,                  1.343,                0.64923,                0.90493,             0.00043184,             0.00043184,             0.00043184
                    200,                 1.1458,                0.67135,                0.89647,                0.97887,                      1,                  0.995,                 0.6175,                 1.3685,                0.65702,                0.90971,             0.00042392,             0.00042392,             0.00042392
                    201,                 1.0963,                0.63471,                0.87967,                0.98031,                      1,                  0.995,                 0.6021,                 1.4007,                0.67528,                0.91619,               0.000416,               0.000416,               0.000416
                    202,                 1.1441,                0.70846,                0.89403,                0.98121,                      1,                  0.995,                 0.5822,                 1.4278,                0.68199,                0.92096,             0.00040808,             0.00040808,             0.00040808
                    203,                 1.1682,                0.66469,                0.90349,                0.90625,                      1,                0.98269,                0.58524,                 1.4319,                0.67921,                0.92561,             0.00040016,             0.00040016,             0.00040016
                    204,                 1.0983,                0.72375,                0.89007,                      1,                0.99027,                  0.995,                0.61499,                 1.4431,                0.67369,                0.92698,             0.00039224,             0.00039224,             0.00039224
                    205,                 1.0978,                0.61479,                0.86045,                0.97268,                      1,                  0.995,                0.59802,                 1.4569,                0.65393,                0.92849,             0.00038432,             0.00038432,             0.00038432
                    206,                 1.1322,                 0.6951,                0.90022,                0.96878,                      1,                  0.995,                0.61086,                 1.4479,                0.63639,                0.92388,              0.0003764,              0.0003764,              0.0003764
                    207,                 1.2295,                0.66365,                0.88375,                0.98265,                      1,                  0.995,                0.60537,                 1.4402,                0.65071,                0.91958,             0.00036848,             0.00036848,             0.00036848
                    208,                 1.0491,                0.61212,                0.87263,                0.98364,                      1,                  0.995,                0.61592,                 1.4629,                0.64153,                0.92213,             0.00036056,             0.00036056,             0.00036056
                    209,                 1.3516,                0.66467,                0.92162,                0.98318,                      1,                  0.995,                0.60686,                 1.4626,                 0.6214,                0.92019,             0.00035264,             0.00035264,             0.00035264
                    210,                 1.0137,                0.54606,                0.85676,                0.98137,                      1,                  0.995,                0.60265,                 1.4659,                0.61583,                0.92245,             0.00034472,             0.00034472,             0.00034472
                    211,                 1.1633,                0.63084,                0.95093,                0.98165,                      1,                  0.995,                0.59315,                  1.465,                0.61398,                0.92147,              0.0003368,              0.0003368,              0.0003368
                    212,                 1.2274,                0.69216,                0.85535,                0.98167,                      1,                  0.995,                0.58591,                 1.4502,                0.60564,                0.92172,             0.00032888,             0.00032888,             0.00032888
                    213,                 1.0952,                0.59371,                0.89364,                 0.9814,                      1,                  0.995,                0.58576,                 1.4282,                0.61029,                0.91667,             0.00032096,             0.00032096,             0.00032096
                    214,                0.99829,                0.63025,                0.88908,                0.98273,                      1,                  0.995,                 0.5798,                 1.3904,                0.60219,                0.91333,             0.00031304,             0.00031304,             0.00031304
                    215,                0.99402,                0.61964,                0.87545,                0.98485,                      1,                  0.995,                0.59192,                 1.3901,                0.59405,                0.90993,             0.00030512,             0.00030512,             0.00030512
                    216,                 1.0477,                0.59775,                0.89785,                0.98824,                      1,                  0.995,                0.59398,                 1.3825,                0.58871,                0.90739,              0.0002972,              0.0002972,              0.0002972
                    217,                0.88472,                0.64735,                0.81265,                0.98955,                      1,                  0.995,                0.58527,                 1.3771,                0.59236,                0.90492,             0.00028928,             0.00028928,             0.00028928
                    218,                 0.9569,                0.63655,                0.85572,                0.99399,                      1,                  0.995,                0.57969,                 1.4001,                0.57887,                0.90438,             0.00028136,             0.00028136,             0.00028136
                    219,                 1.0794,                0.65588,                0.86093,                0.99908,                      1,                  0.995,                0.60674,                 1.3893,                0.58642,                0.90577,             0.00027344,             0.00027344,             0.00027344
                    220,                 1.1868,                0.62329,                0.87826,                      1,                0.99861,                  0.995,                0.59381,                 1.3929,                0.60369,                0.90799,             0.00026552,             0.00026552,             0.00026552
                    221,                 1.1646,                0.63887,                0.87861,                0.99433,                      1,                  0.995,                0.60725,                 1.4036,                  0.603,                0.91024,              0.0002576,              0.0002576,              0.0002576
                    222,                 1.3275,                0.75575,                0.86945,                0.99438,                      1,                  0.995,                0.60944,                 1.4068,                0.60823,                0.91263,             0.00024968,             0.00024968,             0.00024968
                    223,                 1.1104,                0.58985,                 0.8911,                      1,                0.99594,                  0.995,                0.60289,                 1.3908,                0.63443,                0.90951,             0.00024176,             0.00024176,             0.00024176
                    224,                 1.0226,                0.61756,                0.86006,                0.99448,                      1,                  0.995,                0.63563,                 1.3678,                0.62709,                0.90649,             0.00023384,             0.00023384,             0.00023384
                    225,                 1.1849,                0.76747,                0.88681,                0.99462,                      1,                  0.995,                0.63863,                 1.3623,                0.63081,                 0.9041,             0.00022592,             0.00022592,             0.00022592
                    226,                 1.0624,                0.58274,                0.86747,                0.99512,                      1,                  0.995,                0.62451,                 1.3533,                0.63108,                0.90172,               0.000218,               0.000218,               0.000218
                    227,                 1.1358,                0.58232,                0.84872,                 0.9952,                      1,                  0.995,                0.59675,                 1.3769,                0.62466,                0.89884,             0.00021008,             0.00021008,             0.00021008
                    228,                 1.1443,                0.65441,                0.85724,                      1,                0.98871,                  0.995,                0.60664,                 1.3901,                0.62312,                0.89917,             0.00020216,             0.00020216,             0.00020216
                    229,                 1.1822,                 0.6631,                0.85797,                      1,                0.99206,                  0.995,                0.60273,                 1.4055,                  0.617,                0.90024,             0.00019424,             0.00019424,             0.00019424
                    230,                0.99582,                0.58709,                0.83994,                      1,                0.99481,                  0.995,                0.59936,                 1.4223,                0.62564,                0.90156,             0.00018632,             0.00018632,             0.00018632
                    231,                  1.157,                 0.6118,                0.89161,                0.99886,                      1,                  0.995,                0.59631,                 1.4239,                0.63875,                0.90495,              0.0001784,              0.0001784,              0.0001784
                    232,                0.95931,                0.56671,                0.83659,                0.99351,                      1,                  0.995,                0.60207,                 1.4258,                0.63585,                0.90826,             0.00017048,             0.00017048,             0.00017048
                    233,                 1.1208,                 0.6085,                0.86067,                0.99127,                      1,                  0.995,                0.59735,                 1.4141,                0.65385,                0.90921,             0.00016256,             0.00016256,             0.00016256
                    234,                 1.0628,                0.61486,                0.92145,                0.98659,                      1,                  0.995,                0.57956,                 1.4132,                0.64807,                 0.9123,             0.00015464,             0.00015464,             0.00015464
                    235,                 1.0961,                0.57938,                0.86644,                0.98466,                      1,                  0.995,                0.60099,                 1.4294,                0.65134,                0.91506,             0.00014672,             0.00014672,             0.00014672
                    236,                 1.1319,                0.61731,                0.88416,                0.98291,                      1,                  0.995,                0.60099,                 1.4334,                0.65865,                0.91708,              0.0001388,              0.0001388,              0.0001388
                    237,                 1.0698,                0.66632,                0.85207,                0.98357,                      1,                  0.995,                0.59952,                 1.4184,                0.65911,                0.91488,             0.00013088,             0.00013088,             0.00013088
                    238,                 1.0356,                0.57499,                0.92125,                0.98418,                      1,                  0.995,                0.61092,                 1.4079,                0.65928,                0.91157,             0.00012296,             0.00012296,             0.00012296
                    239,                 1.0021,                0.57538,                0.91152,                0.98443,                      1,                  0.995,                0.61798,                 1.4033,                0.64194,                0.91027,             0.00011504,             0.00011504,             0.00011504
                    240,                 1.1656,                0.62487,                0.85158,                0.98429,                      1,                  0.995,                0.61579,                 1.3928,                0.63633,                0.90779,             0.00010712,             0.00010712,             0.00010712
                    241,                  1.087,                0.61053,                0.93452,                 0.9847,                      1,                  0.995,                0.59721,                 1.3854,                0.62954,                0.90577,               9.92e-05,               9.92e-05,               9.92e-05
                    242,                 1.0508,                0.59617,                0.84777,                0.98521,                      1,                  0.995,                0.59759,                 1.3829,                0.61397,                0.90611,              9.128e-05,              9.128e-05,              9.128e-05
                    243,                 1.1099,                0.67887,                0.92936,                0.98531,                      1,                  0.995,                0.58259,                 1.3855,                0.61394,                0.90577,              8.336e-05,              8.336e-05,              8.336e-05
                    244,                 1.0208,                0.63093,                0.89709,                0.98577,                      1,                  0.995,                0.58722,                 1.3851,                0.62536,                0.90634,              7.544e-05,              7.544e-05,              7.544e-05
                    245,                0.91898,                0.52316,                0.88072,                0.98661,                      1,                  0.995,                0.61324,                 1.3868,                0.62057,                0.90634,              6.752e-05,              6.752e-05,              6.752e-05
                    246,                0.89708,                0.55609,                  0.866,                0.98692,                      1,                  0.995,                0.60442,                 1.3899,                0.61818,                0.90625,               5.96e-05,               5.96e-05,               5.96e-05
                    247,                0.96789,                0.62876,                0.86675,                0.98751,                      1,                  0.995,                0.60575,                 1.3933,                0.61818,                0.90568,              5.168e-05,              5.168e-05,              5.168e-05
                    248,                0.92123,                0.56504,                0.87142,                0.98813,                      1,                  0.995,                0.60755,                 1.3924,                0.61499,                 0.9055,              4.376e-05,              4.376e-05,              4.376e-05
                    249,                0.96897,                0.54894,                0.85054,                0.98839,                      1,                  0.995,                0.60609,                 1.3889,                0.61516,                0.90479,              3.584e-05,              3.584e-05,              3.584e-05
                    250,                0.91802,                0.57271,                 0.8752,                0.98774,                      1,                  0.995,                0.61126,                 1.3829,                0.61183,                0.90358,              2.792e-05,              2.792e-05,              2.792e-05
